,A,A,A,A
asOfDate,2019-10-31 00:00:00,2020-10-31 00:00:00,2021-10-31 00:00:00,2022-10-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,354000000.0,354000000.0,446000000.0,580000000.0
AccountsReceivable,930000000.0,1038000000.0,1172000000.0,1405000000.0
AccumulatedDepreciation,-925000000.0,-1029000000.0,-1122000000.0,-1148000000.0
AdditionalPaidInCapital,5277000000.0,5311000000.0,5320000000.0,5325000000.0
BuildingsAndImprovements,1012000000.0,1055000000.0,1147000000.0,1255000000.0
CapitalStock,3000000.0,3000000.0,3000000.0,3000000.0
CashAndCashEquivalents,1382000000.0,1441000000.0,1484000000.0,1053000000.0
CashCashEquivalentsAndShortTermInvestments,1382000000.0,1441000000.0,1575000000.0,1053000000.0
CommercialPaper,,,0.0,
CommonStock,3000000.0,3000000.0,3000000.0,3000000.0
CommonStockEquity,4748000000.0,4873000000.0,5389000000.0,5305000000.0
CurrentAccruedExpenses,440000000.0,285000000.0,328000000.0,329000000.0
CurrentAssets,3189000000.0,3415000000.0,3799000000.0,3778000000.0
CurrentDebt,616000000.0,75000000.0,,36000000.0
CurrentDebtAndCapitalLeaseObligation,616000000.0,75000000.0,,36000000.0
CurrentDeferredLiabilities,336000000.0,386000000.0,441000000.0,461000000.0
CurrentDeferredRevenue,336000000.0,386000000.0,441000000.0,461000000.0
CurrentLiabilities,2080000000.0,1467000000.0,1708000000.0,1861000000.0
EmployeeBenefits,360000000.0,389000000.0,220000000.0,97000000.0
FinishedGoods,416000000.0,417000000.0,463000000.0,555000000.0
GainsLossesNotAffectingRetainedEarnings,-514000000.0,-522000000.0,-282000000.0,-347000000.0
Goodwill,3593000000.0,3602000000.0,3975000000.0,3952000000.0
GoodwillAndOtherIntangibleAssets,4700000000.0,4433000000.0,4956000000.0,4773000000.0
GrossPPE,1775000000.0,1874000000.0,2067000000.0,2248000000.0
Inventory,679000000.0,720000000.0,830000000.0,1038000000.0
InvestedCapital,7155000000.0,7232000000.0,8118000000.0,8074000000.0
InvestmentsAndAdvances,102000000.0,158000000.0,185000000.0,195000000.0
LandAndImprovements,57000000.0,58000000.0,61000000.0,59000000.0
LongTermDebt,1791000000.0,2284000000.0,2729000000.0,2733000000.0
LongTermDebtAndCapitalLeaseObligation,1791000000.0,2284000000.0,2729000000.0,2733000000.0
MachineryFurnitureEquipment,706000000.0,761000000.0,859000000.0,934000000.0
MinorityInterest,0.0,,,
NetDebt,1025000000.0,918000000.0,1245000000.0,1716000000.0
NetPPE,850000000.0,845000000.0,945000000.0,1100000000.0
NetTangibleAssets,48000000.0,440000000.0,433000000.0,532000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,360000000.0,389000000.0,220000000.0,97000000.0
OrdinarySharesNumber,309000000.0,306000000.0,302000000.0,295000000.0
OtherCurrentAssets,198000000.0,216000000.0,222000000.0,282000000.0
OtherIntangibleAssets,1107000000.0,831000000.0,981000000.0,821000000.0
OtherNonCurrentAssets,611000000.0,776000000.0,820000000.0,686000000.0
OtherNonCurrentLiabilities,473000000.0,614000000.0,659000000.0,536000000.0
OtherShortTermInvestments,,,91000000.0,0.0
Payables,354000000.0,354000000.0,446000000.0,580000000.0
PayablesAndAccruedExpenses,794000000.0,639000000.0,774000000.0,909000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,334000000.0,367000000.0,493000000.0,455000000.0
PreferredStock,0.0,0.0,0.0,0.0
Properties,0.0,0.0,0.0,0.0
RawMaterials,263000000.0,303000000.0,367000000.0,483000000.0
Receivables,930000000.0,1038000000.0,1172000000.0,1405000000.0
RetainedEarnings,-18000000.0,81000000.0,348000000.0,324000000.0
ShareIssued,309000000.0,306000000.0,302000000.0,295000000.0
StockholdersEquity,4748000000.0,4873000000.0,5389000000.0,5305000000.0
TangibleBookValue,48000000.0,440000000.0,433000000.0,532000000.0
TotalAssets,9452000000.0,9627000000.0,10705000000.0,10532000000.0
TotalCapitalization,6539000000.0,7157000000.0,8118000000.0,8038000000.0
TotalDebt,2407000000.0,2359000000.0,2729000000.0,2769000000.0
TotalEquityGrossMinorityInterest,4748000000.0,4873000000.0,5389000000.0,5305000000.0
TotalLiabilitiesNetMinorityInterest,4704000000.0,4754000000.0,5316000000.0,5227000000.0
TotalNonCurrentAssets,6263000000.0,6212000000.0,6906000000.0,6754000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,2624000000.0,3287000000.0,3608000000.0,3366000000.0
WorkingCapital,1109000000.0,1948000000.0,2091000000.0,1917000000.0
