,FUN,FUN,FUN,FUN
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,29344000.0,14272000.0,53912000.0,54983000.0
AccountsReceivable,63106000.0,34445000.0,62109000.0,70926000.0
AccumulatedDepreciation,-1855019000.0,-1995138000.0,-2117659000.0,-2234800000.0
AllowanceForDoubtfulAccountsReceivable,,,,-5800000.0
BuildingsAndImprovements,816780000.0,849404000.0,855297000.0,930850000.0
CapitalLeaseObligations,10600000.0,10483000.0,13345000.0,81757000.0
CashAndCashEquivalents,182252000.0,376736000.0,61119000.0,101189000.0
CashCashEquivalentsAndShortTermInvestments,182252000.0,376736000.0,61119000.0,101189000.0
CommonStockEquity,-9966000.0,-666437000.0,-698488000.0,-591602000.0
ConstructionInProgress,70731000.0,75507000.0,57666000.0,75377000.0
CurrentAccruedExpenses,72015000.0,69258000.0,106355000.0,116183000.0
CurrentAssets,294181000.0,554511000.0,263641000.0,243759000.0
CurrentDebt,7500000.0,,,
CurrentDebtAndCapitalLeaseObligation,7500000.0,,,
CurrentDeferredLiabilities,151377000.0,183354000.0,187599000.0,162711000.0
CurrentDeferredRevenue,151377000.0,183354000.0,187599000.0,162711000.0
CurrentLiabilities,324138000.0,299981000.0,381514000.0,396972000.0
CurrentProvisions,24665000.0,22322000.0,24573000.0,27766000.0
DerivativeProductLiabilities,18108000.0,39086000.0,20086000.0,0.0
GainsLossesNotAffectingRetainedEarnings,9746000.0,2599000.0,8943000.0,15609000.0
GeneralPartnershipCapital,5289000.0,5283000.0,5283000.0,5286000.0
Goodwill,359654000.0,266961000.0,267232000.0,263206000.0
GoodwillAndOtherIntangibleAssets,419553000.0,317249000.0,317226000.0,312156000.0
GrossAccountsReceivable,,,,76726000.0
GrossPPE,3710951000.0,3810646000.0,3844696000.0,3910125000.0
InterestPayable,21442000.0,33718000.0,32011000.0,32173000.0
Inventory,32902000.0,47479000.0,32113000.0,45297000.0
InvestedCapital,2143417000.0,2287807000.0,1820448000.0,1676553000.0
LandAndImprovements,901572000.0,909884000.0,929204000.0,780292000.0
LimitedPartnershipCapital,-25001000.0,-674319000.0,-712714000.0,-612497000.0
LongTermCapitalLeaseObligation,10600000.0,10483000.0,13345000.0,81757000.0
LongTermDebt,2145883000.0,2954244000.0,2518936000.0,2268155000.0
LongTermDebtAndCapitalLeaseObligation,2156483000.0,2964727000.0,2532281000.0,2349912000.0
MachineryFurnitureEquipment,1907544000.0,1962324000.0,1986235000.0,2030640000.0
NetDebt,1971131000.0,2577508000.0,2457817000.0,2166966000.0
NetPPE,1855932000.0,1815508000.0,1727037000.0,1675325000.0
NetTangibleAssets,-419553000.0,-317249000.0,-317226000.0,-312156000.0
NonCurrentDeferredLiabilities,82046000.0,39595000.0,66483000.0,69412000.0
NonCurrentDeferredTaxesLiabilities,82046000.0,39595000.0,66483000.0,69412000.0
OrdinarySharesNumber,56666000.0,56706000.0,56854000.0,52563000.0
OtherCurrentAssets,15921000.0,26747000.0,24249000.0,13777000.0
OtherIntangibleAssets,59899000.0,50288000.0,49994000.0,48950000.0
OtherNonCurrentAssets,11479000.0,6144000.0,5116000.0,4657000.0
OtherNonCurrentLiabilities,10336000.0,16460000.0,11144000.0,11203000.0
OtherProperties,14324000.0,13527000.0,16294000.0,92966000.0
Payables,68581000.0,25047000.0,62987000.0,90312000.0
PayablesAndAccruedExpenses,140596000.0,94305000.0,169342000.0,206495000.0
PrepaidAssets,,,,12570000.0
Properties,0.0,0.0,0.0,0.0
Receivables,63106000.0,103549000.0,146160000.0,70926000.0
ShareIssued,56666000.0,56706000.0,56854000.0,52563000.0
StockholdersEquity,0.0,0.0,0.0,0.0
TangibleBookValue,-429519000.0,-983686000.0,-1015714000.0,-903758000.0
TaxesReceivable,,69104000.0,84051000.0,0.0
TotalAssets,2581145000.0,2693412000.0,2313020000.0,2235897000.0
TotalCapitalization,2135917000.0,2287807000.0,1820448000.0,1676553000.0
TotalDebt,2163983000.0,2964727000.0,2532281000.0,2349912000.0
TotalEquityGrossMinorityInterest,-9966000.0,-666437000.0,-698488000.0,-591602000.0
TotalLiabilitiesNetMinorityInterest,2591111000.0,3359849000.0,3011508000.0,2827499000.0
TotalNonCurrentAssets,2286964000.0,2138901000.0,2049379000.0,1992138000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,2266973000.0,3059868000.0,2629994000.0,2430527000.0
TotalPartnershipCapital,-9966000.0,-666437000.0,-698488000.0,-591602000.0
TotalTaxPayable,39237000.0,10775000.0,9075000.0,35329000.0
WorkingCapital,-29957000.0,254530000.0,-117873000.0,-153213000.0
