,PFE,PFE,PFE,PFE,PFE
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AssetImpairmentCharge,2953000000.0,2049000000.0,276000000.0,550000000.0,550000000.0
BeginningCashPosition,1225000000.0,1350000000.0,1825000000.0,1983000000.0,1983000000.0
CapitalExpenditure,-2594000000.0,-2791000000.0,-2711000000.0,-3236000000.0,-3236000000.0
CashDividendsPaid,-8043000000.0,-8440000000.0,-8729000000.0,-8983000000.0,-8983000000.0
CashFlowFromContinuingFinancingActivities,-8486000000.0,-21639000000.0,-9816000000.0,-14834000000.0,-14834000000.0
CashFlowFromContinuingInvestingActivities,-3946000000.0,-4189000000.0,-22533000000.0,-15783000000.0,-15783000000.0
CashFlowFromContinuingOperatingActivities,12588000000.0,10586000000.0,32923000000.0,29267000000.0,29267000000.0
CashFromDiscontinuedFinancingActivities,,11991000000.0,0.0,0.0,0.0
CashFromDiscontinuedInvestingActivities,,-82000000.0,-12000000.0,0.0,0.0
CashFromDiscontinuedOperatingActivities,,3817000000.0,-343000000.0,0.0,0.0
ChangeInAccountPayable,-564000000.0,353000000.0,1242000000.0,1191000000.0,1191000000.0
ChangeInCashSupplementalAsReported,125000000.0,475000000.0,159000000.0,-1515000000.0,-1515000000.0
ChangeInInventory,-1050000000.0,-736000000.0,-1125000000.0,592000000.0,592000000.0
ChangeInOtherCurrentAssets,795000000.0,-146000000.0,-1057000000.0,-4506000000.0,-4506000000.0
ChangeInOtherCurrentLiabilities,267000000.0,2741000000.0,18721000000.0,-1449000000.0,-1449000000.0
ChangeInOtherWorkingCapital,-2737000000.0,-1238000000.0,-1166000000.0,-545000000.0,-545000000.0
ChangeInPayable,-564000000.0,353000000.0,1242000000.0,1191000000.0,1191000000.0
ChangeInPayablesAndAccruedExpense,-564000000.0,353000000.0,1242000000.0,1191000000.0,1191000000.0
ChangeInReceivables,-742000000.0,-1249000000.0,-3811000000.0,261000000.0,261000000.0
ChangeInWorkingCapital,-4031000000.0,-275000000.0,12804000000.0,-4456000000.0,-4456000000.0
ChangesInAccountReceivables,-742000000.0,-1249000000.0,-3811000000.0,261000000.0,261000000.0
ChangesInCash,157000000.0,483000000.0,217000000.0,-1350000000.0,-1350000000.0
CommonStockDividendPaid,-8043000000.0,-8440000000.0,-8729000000.0,,
CommonStockPayments,-8865000000.0,,0.0,-2000000000.0,-2000000000.0
DeferredIncomeTax,614000000.0,-1468000000.0,-4293000000.0,-3764000000.0,-3764000000.0
DeferredTax,614000000.0,-1468000000.0,-4293000000.0,-3764000000.0,-3764000000.0
DepreciationAmortizationDepletion,6010000000.0,4777000000.0,5191000000.0,5064000000.0,5064000000.0
DepreciationAndAmortization,6010000000.0,4777000000.0,5191000000.0,5064000000.0,5064000000.0
DividendsReceivedCFI,,,,3960000000.0,3960000000.0
EarningsLossesFromEquityInvestments,-8233000000.0,-6000000.0,0.0,,
EffectOfExchangeRateChanges,-32000000.0,-8000000.0,-59000000.0,-165000000.0,-165000000.0
EndCashPosition,1350000000.0,1825000000.0,1983000000.0,468000000.0,468000000.0
FinancingCashFlow,-8485000000.0,-9649000000.0,-9816000000.0,-14834000000.0,-14834000000.0
FreeCashFlow,9994000000.0,11612000000.0,29869000000.0,26031000000.0,26031000000.0
IncomeTaxPaidSupplementalData,3664000000.0,3153000000.0,7427000000.0,7867000000.0,7867000000.0
InterestPaidSupplementalData,1587000000.0,1641000000.0,1467000000.0,1442000000.0,1442000000.0
InvestingCashFlow,-3945000000.0,-4271000000.0,-22546000000.0,-15783000000.0,-15783000000.0
IssuanceOfDebt,21397000000.0,17574000000.0,997000000.0,3891000000.0,3891000000.0
LongTermDebtIssuance,4942000000.0,5222000000.0,997000000.0,0.0,0.0
LongTermDebtPayments,-6806000000.0,-4003000000.0,-2004000000.0,-3298000000.0,-3298000000.0
NetBusinessPurchaseAndSale,-10861000000.0,,0.0,-22997000000.0,-22997000000.0
NetCommonStockIssuance,-8865000000.0,,0.0,-2000000000.0,-2000000000.0
NetIncome,16273000000.0,9616000000.0,21979000000.0,31372000000.0,31372000000.0
NetIncomeFromContinuingOperations,16302000000.0,7021000000.0,22459000000.0,31401000000.0,31401000000.0
NetIntangiblesPurchaseAndSale,-418000000.0,-539000000.0,,,
NetInvestmentPurchaseAndSale,9304000000.0,-1672000000.0,-19517000000.0,6682000000.0,6682000000.0
NetIssuancePaymentsOfDebt,8764000000.0,-12755000000.0,-1103000000.0,-3516000000.0,-3516000000.0
NetLongTermDebtIssuance,-1864000000.0,1219000000.0,-1007000000.0,-3298000000.0,-3298000000.0
NetOtherFinancingCharges,-735000000.0,-870000000.0,16000000.0,-335000000.0,-335000000.0
NetOtherInvestingChanges,206000000.0,274000000.0,-306000000.0,-192000000.0,-192000000.0
NetPPEPurchaseAndSale,-2176000000.0,-2252000000.0,-2711000000.0,-3236000000.0,-3236000000.0
NetShortTermDebtIssuance,10628000000.0,-13974000000.0,-96000000.0,-218000000.0,-218000000.0
OperatingCashFlow,12588000000.0,14403000000.0,32580000000.0,29267000000.0,29267000000.0
OperatingGainsLosses,-8233000000.0,-6000000.0,,,
OtherNonCashItems,-1745000000.0,-2268000000.0,-4696000000.0,-400000000.0,-400000000.0
PensionAndEmployeeBenefitExpense,-336000000.0,-1790000000.0,,,
ProceedsFromStockOptionExercised,394000000.0,425000000.0,,,
PurchaseOfBusiness,-10861000000.0,,0.0,-22997000000.0,-22997000000.0
PurchaseOfIntangibles,-418000000.0,-539000000.0,,,
PurchaseOfInvestment,-7036000000.0,-14402000000.0,-47613000000.0,-38780000000.0,-38780000000.0
PurchaseOfPPE,-2176000000.0,-2252000000.0,-2711000000.0,-3236000000.0,-3236000000.0
RepaymentOfDebt,-12633000000.0,-30329000000.0,-2100000000.0,-7407000000.0,-7407000000.0
RepurchaseOfCapitalStock,-8865000000.0,,0.0,-2000000000.0,-2000000000.0
SaleOfInvestment,16340000000.0,12730000000.0,28096000000.0,45462000000.0,45462000000.0
ShortTermDebtIssuance,16455000000.0,12352000000.0,0.0,3891000000.0,3891000000.0
ShortTermDebtPayments,-5827000000.0,-26326000000.0,-96000000.0,-4109000000.0,-4109000000.0
StockBasedCompensation,718000000.0,756000000.0,1182000000.0,872000000.0,872000000.0
