,AAME,AAME,AAME,AAME
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD
AverageDilutionEarnings,,399000.0,,
BasicAverageShares,20472162.0,20981034.0,22531579.0,
BasicEPS,-0.04,0.58,0.19,
DilutedAverageShares,20472162.0,21730357.0,22531579.0,
DilutedEPS,-0.04,0.56,0.19,
DilutedNIAvailtoComStockholders,-785000.0,12169000.0,3882000.0,2745000.0
EBIT,1723000.0,17113000.0,6689000.0,5758000.0
InterestExpense,2130000.0,1610000.0,1387000.0,1638000.0
InterestExpenseNonOperating,2130000.0,1610000.0,1387000.0,1638000.0
NetIncome,-386000.0,12169000.0,4281000.0,3144000.0
NetIncomeCommonStockholders,-785000.0,11770000.0,3882000.0,2745000.0
NetIncomeContinuousOperations,-386000.0,12169000.0,4281000.0,3144000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-386000.0,12169000.0,4281000.0,3144000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-386000.0,12169000.0,4281000.0,3144000.0
NetIncomeIncludingNoncontrollingInterests,-386000.0,12169000.0,4281000.0,3144000.0
NetInterestIncome,-2130000.0,-1610000.0,-1387000.0,-1638000.0
NetNonOperatingInterestIncomeExpense,-2130000.0,-1610000.0,-1387000.0,-1638000.0
NormalizedIncome,-386000.0,12169000.0,4281000.0,3144000.0
OperatingRevenue,198179000.0,195348000.0,199554000.0,192352000.0
OtherIncomeExpense,190000.0,76000.0,13000.0,11000.0
OtherOperatingExpenses,11754000.0,11548000.0,13675000.0,13648000.0
PreferredStockDividends,399000.0,399000.0,399000.0,399000.0
PretaxIncome,-407000.0,15503000.0,5302000.0,4120000.0
ReconciledDepreciation,996000.0,980000.0,1003000.0,933000.0
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxProvision,-21000.0,3334000.0,1021000.0,976000.0
TaxRateForCalcs,0.052,0.215,0.193,0.236893
TotalExpenses,198586000.0,179845000.0,194252000.0,188232000.0
TotalRevenue,198179000.0,195348000.0,199554000.0,192352000.0
